Group1         Group2         
47             50             
43             65             
49             46             
44             60             
52             57             
47             60             
41             55             
49             59             
42             55             
46             58             
24             57             
43             48             
41             57             
32             54             
32             49             
51             54             
30             57             
59             57             
50             58             
37             46             
43             54             
58             60             
36             54             
51             58             
46             61             
35             57             
39             61             
48             61             
41             65             
45             60             
47             44             
46             48             
47             54             
48             53             
51             66             
65             48             
50             52             
33             46             
33             52             
47             56             
51             52             
36             54             
33             59             
42             58             
33             48             
30             47             
24             56             
39             55             
53             44             
46             62             
40             54             
44             69             
46             49             
38             41             
39             48             
36             42             
34             51             
54             53             
47             52             
40             50             
42             52             
38             62             
37             42             
45             55             
42             45             
46             54             
46             40             
35             52             
55             43             
44             44             
46             52             
51             45             
47             52             
53             41             
35             43             
50             60             
51             55             
38             63             
54             50             
61             63             
43             51             
60             43             
43             45             
38             53             
47             55             
48             62             
42             57             
45             48             
24             59             
43             53             
50             46             
44             52             
46             60             
28             42             
42             48             
50             53             
52             41             
54             41             
20             42             
50             51             
47             45             
46             55             
45             36             
47             48             
48             56             
45             52             
56             53             
53             51             
49             52             
53             57             
60             61             
63             50             
52             54             
51             60             
48             49             
51             54             
51             55             
46             53             
48             59             
47             59             
44             59             
42             57             
48             60             
37             58             
53             64             
43             62             
42             58             
42             62             
47             57             
53             63             
58             36             
53             60             
-              47             
-              55             
-              54             
-              48             
-              59             
-              -              
