CladeH1_1      CladeH3_2      CladeH7_2      CladeH9_1      CladeH11_1     CladeH17_1     
33             59             34             29             43             17             
18             44             35             -              27             45             
23             47             43             -              29             47             
28             47             37             -              34             -              
19             42             42             -              36             -              
29             47             47             -              -              -              
24             54             45             -              -              -              
22             44             44             -              -              -              
20             45             39             -              -              -              
22             42             42             -              -              -              
12             48             49             -              -              -              
27             40             38             -              -              -              
30             37             41             -              -              -              
16             39             42             -              -              -              
15             50             30             -              -              -              
20             44             51             -              -              -              
12             36             25             -              -              -              
27             39             36             -              -              -              
24             43             44             -              -              -              
32             62             28             -              -              -              
17             48             33             -              -              -              
26             50             42             -              -              -              
15             48             40             -              -              -              
16             29             63             -              -              -              
24             51             30             -              -              -              
28             41             37             -              -              -              
32             51             37             -              -              -              
27             51             35             -              -              -              
28             54             42             -              -              -              
24             51             34             -              -              -              
27             45             42             -              -              -              
36             40             39             -              -              -              
30             39             37             -              -              -              
20             51             37             -              -              -              
42             54             35             -              -              -              
25             39             38             -              -              -              
29             37             34             -              -              -              
30             36             38             -              -              -              
24             48             38             -              -              -              
22             52             35             -              -              -              
42             36             36             -              -              -              
27             41             38             -              -              -              
24             38             41             -              -              -              
24             65             33             -              -              -              
9              43             44             -              -              -              
6              50             37             -              -              -              
3              39             37             -              -              -              
9              47             37             -              -              -              
33             21             40             -              -              -              
26             43             33             -              -              -              
33             40             31             -              -              -              
35             43             36             -              -              -              
39             39             38             -              -              -              
35             41             31             -              -              -              
26             42             33             -              -              -              
16             33             30             -              -              -              
15             54             32             -              -              -              
35             59             27             -              -              -              
36             50             33             -              -              -              
16             47             29             -              -              -              
17             50             40             -              -              -              
24             36             -              -              -              -              
29             35             -              -              -              -              
32             42             -              -              -              -              
28             30             -              -              -              -              
28             26             -              -              -              -              
27             38             -              -              -              -              
18             41             -              -              -              -              
52             31             -              -              -              -              
52             36             -              -              -              -              
24             58             -              -              -              -              
52             66             -              -              -              -              
44             56             -              -              -              -              
26             64             -              -              -              -              
47             59             -              -              -              -              
38             47             -              -              -              -              
27             -              -              -              -              -              
36             -              -              -              -              -              
35             -              -              -              -              -              
49             -              -              -              -              -              
36             -              -              -              -              -              
49             -              -              -              -              -              
33             -              -              -              -              -              
35             -              -              -              -              -              
40             -              -              -              -              -              
24             -              -              -              -              -              
28             -              -              -              -              -              
28             -              -              -              -              -              
9              -              -              -              -              -              
41             -              -              -              -              -              
24             -              -              -              -              -              
23             -              -              -              -              -              
36             -              -              -              -              -              
13             -              -              -              -              -              
31             -              -              -              -              -              
47             -              -              -              -              -              
52             -              -              -              -              -              
36             -              -              -              -              -              
7              -              -              -              -              -              
47             -              -              -              -              -              
35             -              -              -              -              -              
34             -              -              -              -              -              
37             -              -              -              -              -              
37             -              -              -              -              -              
47             -              -              -              -              -              
44             -              -              -              -              -              
35             -              -              -              -              -              
29             -              -              -              -              -              
34             -              -              -              -              -              
37             -              -              -              -              -              
36             -              -              -              -              -              
20             -              -              -              -              -              
37             -              -              -              -              -              
36             -              -              -              -              -              
26             -              -              -              -              -              
30             -              -              -              -              -              
22             -              -              -              -              -              
16             -              -              -              -              -              
22             -              -              -              -              -              
23             -              -              -              -              -              
19             -              -              -              -              -              
22             -              -              -              -              -              
17             -              -              -              -              -              
-              
